category,rating,label,text_
Clothing_Shoes_and_Jewelry_5,2.0,OR,the fit was stiff and uncomfortable. I also didn't expect the top of the boot to be so wide and gap. I ended up returning them.
Toys_and_Games_5,3.0,OR,Served their purpose. Not the best quality and felt cheap. But my kids enjoyed them.
Books_5,5.0,CG,"I loved this book. I have read all the other books in the series, and this one is a keeper. The story is well told, the characters are interesting, and the story is well told. I would highly recommend this book. I really enjoyed this book. I love a good mystery with a good twist. I have read all of the other books in the series. This one is a little different and I am not sure why I didn't give it a five star rating. I would have liked it a little better. I just didn't get it. It is definitely a book I will read again."
Sports_and_Outdoors_5,5.0,CG,This is my third pair.  I wear the knee pads for a lot of work and this one is a little too tight.  The sleeves are too tight and the inside of the pants is too tight.  It's a little difficult to get them in and out of the way.  I'm a big guy and I'm very satisfied with the quality of these pads.I love this gun. It works well and seems to last for years. I have a Beretta 1270 and it is very light weight. The sights are very well made and easy to sight in. This gun is super light and easy to carry. The gun fits nicely in my pack and holds a lot of ammo. I would definitely recommend this gun to anyone.Very good product. Very good quality.Great quality. Love it!Easy to install. I have no problems with this. I have had this on my Trek Trek
Kindle_Store_5,2.0,CG,This one just didn't hit the mark. It just wasn't as good as the first one. I had a lot of fun with this one. It was very entertaining and it was well written. I'm looking forward to reading the next one. The author does a great job with the descriptions of the animals and the locations. It is a well written book. I would recommend it to anyone who loves to read about animals and a good way to have fun. I really enjoyed reading this book.
Home_and_Kitchen_5,4.0,OR,"It is pretty much what I expected, like anything new I am getting used to it.  Is is pretty easy to set up and I believe it will meet my expectations. The size of display is just fine, and I appreciate the moon phases, have not seen this before."
Home_and_Kitchen_5,5.0,OR,"If you own other Shun's you know this is going to an awesome product.  I have a fairly heavy cleaver that I use mainly for breaking through bones and connecting joints, but this beauty takes all the work out of slicing through whole celery bunches to evenly julienning ginger.  Definitely a must use tool in my knife arsenal"
Home_and_Kitchen_5,5.0,CG,These smell great! I'm pretty happy with the quality and quality of this product!This is a
Electronics_5,5.0,OR,"THIS IS A GOOD REVIEW (all negativity ends to be a positive ending), I give it 5 stars!

I had a MAJOR lightning storm that killed about 5 of my electronics, including my desktops network card, which is built into the motherboard. When I found out it wasn't working, I went searching on Amazon for a new one (since Amazons merchandise is always on sale, or just plain cheap, money wise) and found this. I kept a tab on this open and looked at other, but my decision came back to this because of how cheap it was, and the good reviews, AND a similar story to mine someone else said (lightning storm, built into modem, etc. ) When I purchased it, I completely forgot about it until it arrived today. I soon hooked it up, excited and all. As soon as I power it on, I got that Limited but No Connectivity. I went through EVERYTHING trying to fix it, over an hour and a half. Nothing. I went out and came back and still nothing. So I looked up online problems that could relate to this. After about 3 websites, I came across a forum comment saying to download a tool called WinsockXPFix, after opening this small app and 'Fix'ing it, it worked. And now I'm sooooo happy, enough to get back on here, and write a review. I also found that little app just replaces missing files old programs I uninstalled, took with them. I wrote about this program for others who have any network problems relating to this Limited but No Connectivity issue."
Tools_and_Home_Improvement_5,1.0,CG,Did not work well at all. The only reason I did not rate this is because I just wanted a
